City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Cabadiangan,PH,9.7531,122.4739,85.26,73,100,9.75,overcast clouds
313,Ogori,JP,34.1,131.4,64.36,52,11,3.6,few clouds
314,Surt,LY,31.2089,16.5887,66.25,73,18,3.67,few clouds
315,Lubao,PH,14.9167,120.55,89.31,66,77,7.38,broken clouds
316,Atambua,ID,-9.1061,124.8925,86.02,60,71,3.09,broken clouds
317,Nampula,MZ,-15.1165,39.2666,71.55,83,0,9.22,clear sky
318,Atyrau,KZ,47.1167,51.8833,33.82,86,75,6.71,mist
319,Omsukchan,RU,62.5333,155.8,-13.22,96,99,3.83,overcast clouds
320,Hualmay,PE,-11.0964,-77.6139,63.23,85,11,7.72,few clouds
321,Quatre Cocos,MU,-20.2078,57.7625,71.1,67,11,10.47,few clouds
322,Akdepe,TM,42.0551,59.3788,32.09,67,2,7.9,clear sky
323,Arman,RU,59.7,150.1667,5.02,77,87,10.18,overcast clouds
324,Hamilton,US,39.1834,-84.5333,62.02,43,0,8.05,clear sky
325,Kattivakkam,IN,13.2167,80.3167,78.89,73,87,9.82,overcast clouds
326,Jacareacanga,BR,-6.2222,-57.7528,73.98,89,15,2.53,few clouds
327,Omboue,GA,-1.5746,9.2618,75.4,94,100,8.63,heavy intensity rain
328,Batagay-Alyta,RU,67.8006,130.4114,-12.62,89,86,2.21,overcast clouds
329,Moussoro,TD,13.6408,16.4901,76.3,18,6,10.8,clear sky
330,Kirkuk,IQ,35.4681,44.3922,64.89,39,100,11.1,overcast clouds
331,Valkeala,FI,60.9401,26.7979,48.6,93,40,6.91,scattered clouds
332,Nanortalik,GL,60.1432,-45.2371,30.56,88,100,10.31,overcast clouds
333,Talara,PE,-4.5772,-81.2719,63.36,88,75,11.5,broken clouds
334,Areal,BR,-22.2306,-43.1056,63.1,98,100,2.51,light rain
335,Pendencias,BR,-5.26,-36.7222,75.06,77,100,7.83,overcast clouds
336,Necochea,AR,-38.5473,-58.7368,61.68,45,76,15.28,broken clouds
337,Demyanovo,RU,60.3511,47.0842,36.55,99,100,4.79,light rain
338,Moose Factory,CA,51.2585,-80.6094,41.0,87,100,5.75,overcast clouds
339,Pudozh,RU,61.8099,36.5345,36.99,99,100,2.93,overcast clouds
340,Botucatu,BR,-22.8858,-48.445,58.51,73,36,5.08,scattered clouds
341,High Rock,BS,26.6208,-78.2833,77.74,91,98,40.29,light rain
342,Calama,CL,-22.4667,-68.9333,54.09,13,0,6.91,clear sky
343,Acari,PE,-15.4311,-74.6158,68.97,75,3,2.62,clear sky
344,Loikaw,MM,19.6742,97.2094,73.49,62,3,2.3,clear sky
345,Pyaozerskiy,RU,65.8333,31.1667,33.49,98,100,6.06,overcast clouds
346,Soyo,AO,-6.1349,12.3689,77.38,82,99,6.87,overcast clouds
347,Tiarei,PF,-17.5333,-149.3333,82.42,83,40,14.07,light rain
348,Uthal,PK,25.8072,66.6219,77.68,61,0,6.64,clear sky
