City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Roebourne,AU,85.46,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
367,Palasa,IN,78.46,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
369,Santo Domingo,DO,81.03,scattered clouds,18.5001,-69.9886,Cabañas City Heart
373,Gamba,GA,75.9,moderate rain,-2.65,10.0,
375,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
376,Isla Mujeres,MX,73.45,moderate rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
377,Muisne,EC,73.2,overcast clouds,0.6,-80.0333,Quinta Samay
380,Nizwa,OM,74.77,clear sky,22.9333,57.5333,Orient Apartments
383,Meulaboh,ID,82.0,broken clouds,4.1363,96.1285,Kost Pria
386,Maxixe,MZ,74.3,light rain,-23.8597,35.3472,Oceano
387,Inhambane,MZ,75.07,light rain,-23.865,35.3833,Oceano
392,Juba,SS,71.74,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
394,Srandakan,ID,81.73,overcast clouds,-7.9386,110.2506,Puri Brata
396,Malkapur,IN,73.33,clear sky,20.8833,76.2,Hotel Sarthi International
398,Kumta,IN,79.74,clear sky,14.4167,74.4,Hotel Vaibhav Palace
400,Cabo San Lucas,MX,77.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
403,Alugan,PH,82.54,light rain,12.2188,125.4808,JM Lodge
404,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
409,Sibolga,ID,83.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
410,Cao Bang,VN,79.79,clear sky,22.6667,106.25,khách sạn 88
413,Ballina,AU,74.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
417,Maragogi,BR,75.33,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
420,Diffa,NE,73.78,scattered clouds,13.3154,12.6113,ProDAF/Diffa
422,Moree,AU,78.82,few clouds,-29.4667,149.85,Molika Springs Motel
423,Key West,US,84.2,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
424,Yenagoa,NG,75.09,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
425,Coahuayana,MX,75.15,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
429,Nelson Bay,AU,72.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
431,Brazzaville,CG,73.76,few clouds,-4.2658,15.2832,Hotel Muesse
440,Thinadhoo,MV,82.08,few clouds,0.5333,72.9333,
444,Luwuk,ID,86.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
448,Loandjili,CG,78.91,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
449,Boke,GN,72.88,clear sky,10.9409,-14.2967,Hôtel Rio Nunez - Boké
450,Petrolina,BR,78.85,moderate rain,-9.3986,-40.5008,JB Hotel
452,Goundam,ML,75.09,clear sky,16.4145,-3.6708,
453,Itaberai,BR,70.97,few clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
458,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
